Student_name,Student_letter_grade,Student_final_grade,final_exam_score,midterm_grade,midterm_letter_grade,midterm_exam_score,weely_hours_spent_studying _class,weekly_hours_spent_studying_general,weekly_hw_hours_general,weekly_hours_on_hw_class,effort_in_class,effort_outof_class,Study_group,Weekly_time_with_SG,low_sleep,high_sleep,exercise,taken_class_before,feelings_towards_teacher,student_height,student_weight,student_eyecolor,student_average_hw_grade,student_ID,student_credit_hours,student_nickname,student_nickname_ID,student_gpa,student_gpa_before,student_gpa_after,student_seated_row,student_seated_side,A
Lilith Forbes,F,49.48,25.38,71,C-,97.11,17,0,9,20,Low,Medium,N,34,4,9,N,N,,,97.46,blue,29,XJ0CKC,20,Luna,LunaXJ0CKC,2.38,2.38,0.47,16,Right,
Kennedy Cornish,A-,90.37,32.01,60,D-,61.77,20,18,18,1,Medium,High,N,33,3,9,Y,N,,above average height,111.34,blue,67,A6JHXL,24,Taylan,TaylanA6JHXL,2.21,2.21,2.98,5,Mid,
Ross Stokes,F,18.53,46.24,68,D+,2.60,8,3,1,10,Medium,Medium,N,31,2,9,Y,Y,,below average height,201.45,green,46,TXU2EF,10,Teri,TeriTXU2EF,2.37,2.37,3.18,9,Right,
Aras Mccann,F,34.86,68.43,89,B+,65.64,6,7,13,3,Medium,Low,N,14,6,8,N,Y,,above average height,174.26,green,79,UV1H4P,17,Romany,RomanyUV1H4P,0.60,0.60,0.35,2,Mid,
Youssef Mullen,B-,80.84,30.96,66,D,89.28,10,17,17,15,High,Low,N,28,5,9,N,N,,medium height,111.34,brown,63,0MQ492,15,Tadhg,Tadhg0MQ492,2.49,2.49,2.59,5,Mid,
Rima Mcintosh,D,63.96,58.93,78,C+,9.20,7,2,0,3,Medium,Low,N,38,2,8,Y,Y,,very short,214.11,blue,91,OLLKND,6,Fariha,FarihaOLLKND,2.42,2.42,1.58,13,Left,
Douglas Sheridan,F,47.55,79.02,45,F,3.41,19,1,19,1,High,High,Y,21,6,8,N,Y,,tall,200.51,green,19,8DYH7I,21,Raihan,Raihan8DYH7I,3.34,3.34,2.80,4,Right,
Catherine Andrew,F,34.96,94.18,91,A-,37.04,2,1,14,9,Medium,Low,N,35,6,9,Y,N,,shortish,111.03,green,92,KMGYI3,3,Jocelyn,JocelynKMGYI3,3.04,3.04,0.10,1,Mid,
Adaline Lacey,F,21.50,61.03,48,F,12.18,5,7,10,10,High,Low,N,12,2,10,N,Y,,below average height,104.96,green,21,UN9FGE,9,Fahmida,FahmidaUN9FGE,2.84,2.84,0.98,6,Right,
Beck Bowes,D,66.20,17.20,55,F,23.08,2,0,11,10,High,Medium,Y,16,4,9,Y,N,,very tall,34.65,blue,24,I838T2,8,Teegan,TeeganI838T2,3.95,3.95,0.19,1,Left,
Rochelle Strickland,F,11.29,42.96,16,F,71.85,16,7,2,4,Medium,Medium,Y,33,5,8,N,Y,,medium height,83.89,green,98,1CFHBS,24,Samiyah,Samiyah1CFHBS,3.29,3.29,0.78,4,Left,
Ayva Tucker,D-,60.53,32.14,31,F,68.48,4,13,9,17,High,Low,Y,19,2,7,N,N,,below average height,23.89,green,78,3YNACQ,12,Lukasz,Lukasz3YNACQ,2.28,2.28,2.61,6,Mid,
Tonisha Marks,F,18.46,75.57,78,C+,0.72,5,19,1,12,High,Medium,N,23,5,10,N,N,,very tall,197.19,green,26,ADNU8I,11,Charli,CharliADNU8I,2.87,2.87,3.54,8,Mid,
Madelyn Beil,C+,79.47,28.12,72,C-,73.57,16,3,14,13,High,Low,N,26,6,7,Y,Y,,about average height,224.63,green,32,9ZIYXG,19,Hilda,Hilda9ZIYXG,0.34,0.34,0.99,9,Left,
Koa Clemons,D-,59.63,78.55,14,F,64.25,19,19,16,6,Medium,Medium,Y,23,1,10,Y,N,,medium height,141.80,blue,94,3F68Q9,12,Ellisha,Ellisha3F68Q9,1.23,1.23,1.27,3,Left,
Rayhan Derrick,F,41.54,25.12,34,F,34.55,0,2,6,3,Medium,High,Y,27,1,8,Y,Y,,medium height,74.06,brown,94,GCPN3I,21,Seamus,SeamusGCPN3I,2.03,2.03,0.13,1,Mid,
Nabeel Jarvis,F,16.89,99.28,41,F,52.85,2,17,16,2,Low,Low,Y,26,5,11,Y,Y,,about average height,58.39,blue,56,ZTQZAL,14,Seb,SebZTQZAL,2.58,2.58,2.50,9,Left,
Aleesha Rigby,F,37.34,62.23,78,C+,38.39,4,19,12,9,Low,High,N,12,5,10,Y,Y,,short,245.46,green,36,ZRXEAV,2,Summer-Louise,Summer-LouiseZRXEAV,2.69,2.69,1.75,11,Left,
Ellenor Rojas,F,17.43,26.99,71,C-,83.43,9,4,11,1,Low,Medium,Y,14,6,10,N,Y,,medium height,175.04,brown,36,WIW06Y,21,Jaydan,JaydanWIW06Y,3.13,3.13,3.28,13,Mid,
Tillie Washington,F,5.88,94.83,24,F,85.59,20,7,13,13,Low,Medium,N,2,3,9,Y,Y,,medium height,28.38,blue,39,KRRQT9,8,Mea,MeaKRRQT9,3.25,3.25,2.45,6,Mid,
Bianka Baker,F,14.73,76.71,91,A-,63.50,6,10,19,19,High,Medium,Y,5,2,10,Y,N,,medium height,107.88,green,15,EJ4DDO,19,Jaidon,JaidonEJ4DDO,1.84,1.84,2.05,13,Left,
Augustus Armstrong,B-,81.52,65.27,60,D-,18.73,8,20,1,7,Low,High,N,13,5,8,N,N,,above average height,224.96,green,35,QSM4E9,3,Daanish,DaanishQSM4E9,1.05,1.05,1.48,11,Mid,
Jasleen Hinton,F,42.94,40.50,69,D+,70.16,3,0,18,6,Medium,Low,Y,13,6,9,Y,N,,medium height,166.48,green,75,YLN1LO,13,Jada,JadaYLN1LO,1.61,1.61,0.53,11,Mid,
Jessie Britton,F,0.31,61.26,49,F,43.98,19,18,20,0,Low,Medium,Y,19,3,10,Y,Y,,very short,45.60,brown,48,YVKTAB,24,Suhail,SuhailYVKTAB,1.04,1.04,3.06,8,Right,
Elwood Copeland,F,28.40,40.60,73,C-,43.53,8,2,7,15,Medium,High,N,24,2,8,N,N,,above average height,270.58,brown,91,TZ8S5R,20,Kara,KaraTZ8S5R,1.35,1.35,0.40,10,Left,
Chantelle Nichols,B+,86.89,74.26,86,B,55.04,19,13,18,9,Low,High,N,26,6,11,Y,N,,very tall,85.92,brown,89,7K2KSO,19,Pierre,Pierre7K2KSO,0.47,0.47,2.03,5,Left,
James Macfarlane,B,85.63,53.86,39,F,81.31,13,0,2,7,High,Medium,N,36,6,8,Y,N,,tall,53.39,green,6,0P4T05,18,Lexi-Mae,Lexi-Mae0P4T05,2.26,2.26,3.25,13,Right,
Khadijah Velasquez,F,51.87,36.04,86,B,52.95,4,7,15,14,High,Medium,Y,13,4,7,N,Y,,,260.44,green,86,2AMW12,8,Jai,Jai2AMW12,2.64,2.64,3.87,9,Mid,
Laila Webster,D+,67.65,81.95,28,F,61.80,19,8,8,12,Medium,High,Y,32,4,7,Y,Y,,above average height,281.11,green,36,9PM67U,20,Georgina,Georgina9PM67U,0.96,0.96,0.49,11,Right,
Devan Mccarthy,D,62.69,20.89,28,F,95.28,1,1,1,16,High,High,Y,33,4,8,N,N,,medium height,158.99,brown,52,YBHAWS,14,Zainab,ZainabYBHAWS,3.90,3.90,1.86,1,Right,
Lennon Weiss,F,20.23,95.02,10,F,31.97,16,14,11,10,Medium,Low,Y,2,3,8,Y,Y,,above average height,120.47,brown,46,TSVLPU,11,Maariya,MaariyaTSVLPU,2.40,2.40,2.00,14,Right,
Dominik Bowman,F,11.39,50.01,40,F,2.05,7,17,16,7,Medium,Medium,N,24,3,7,N,N,,about average height,244.30,green,50,6OOZSU,21,Javan,Javan6OOZSU,2.74,2.74,0.96,7,Left,
Harlen Montoya,C-,71.08,88.07,92,A-,96.39,5,1,10,11,High,High,Y,32,6,7,N,N,,very short,263.29,green,59,O5QB9X,22,Trey,TreyO5QB9X,1.92,1.92,3.29,3,Left,
Mujtaba Goldsmith,A,95.46,81.94,59,F,16.34,17,18,14,9,High,Medium,Y,9,4,8,Y,Y,,very short,135.16,green,55,P3XQ07,15,Lily,LilyP3XQ07,2.63,2.63,1.21,1,Right,
Harper Vance,F,6.10,71.07,46,F,1.54,9,19,1,18,Medium,High,Y,16,5,7,N,Y,,above average height,256.20,brown,42,VVMM5B,18,Benn,BennVVMM5B,0.02,0.02,3.87,1,Mid,
Hawwa Bob,F,41.57,74.94,32,F,5.02,10,2,16,1,Low,High,N,35,3,8,N,Y,,below average height,78.45,brown,96,J3G2JV,11,Conner,ConnerJ3G2JV,1.56,1.56,3.85,3,Right,
Hisham Lennon,B+,88.06,75.58,17,F,8.70,6,0,1,19,Medium,High,Y,23,5,11,Y,N,,below average height,22.82,green,5,4VUP20,4,Bethanie,Bethanie4VUP20,3.11,3.11,2.65,15,Mid,
Joyce Villalobos,F,4.72,82.47,20,F,55.96,4,12,5,9,High,High,Y,35,2,9,N,N,,about average height,114.34,brown,5,G4CGDL,18,Honey,HoneyG4CGDL,3.50,3.50,2.00,15,Left,
Ruben Haynes,A-,89.68,39.91,82,B-,91.74,9,12,20,0,Medium,High,Y,1,5,11,Y,N,,medium height,8.17,green,46,XYDEK1,21,Fern,FernXYDEK1,3.57,3.57,3.40,2,Mid,
Pierre Sadler,F,14.43,41.56,72,C-,15.17,7,19,7,2,Medium,Medium,N,18,4,11,N,N,,below average height,41.71,green,39,N8J5AN,18,Pascal,PascalN8J5AN,2.73,2.73,1.40,10,Right,
Alfie-Jay Holland,F,40.20,93.44,20,F,12.24,8,6,13,15,High,High,Y,32,6,10,N,N,,medium height,43.02,brown,59,TL7443,7,Arjan,ArjanTL7443,2.50,2.50,3.62,16,Right,
Austen Knight,F,46.59,26.21,36,F,46.00,18,3,2,20,High,High,Y,7,6,9,Y,N,,below average height,14.00,blue,56,7WRWH0,2,Jerome,Jerome7WRWH0,3.61,3.61,2.37,14,Left,
Xavier Ramirez,C+,77.37,78.45,6,F,59.52,17,1,16,20,Medium,Low,N,30,3,10,Y,N,,very tall,271.93,brown,89,Q1350H,19,Eduardo,EduardoQ1350H,4.00,4.00,1.52,7,Left,
Milly Wilder,F,23.57,49.43,22,F,28.57,4,14,0,1,Low,Medium,Y,37,6,8,Y,N,,about average height,144.51,blue,46,1MB80F,1,Aj,Aj1MB80F,2.87,2.87,3.21,6,Mid,
Menachem Mcneil,F,58.14,3.81,87,B+,84.79,13,8,17,2,High,Medium,Y,8,2,11,Y,N,,medium height,32.13,blue,73,82BI66,22,Evan,Evan82BI66,0.75,0.75,0.84,15,Right,
Cara Thorne,A,94.39,73.70,14,F,0.89,13,16,8,1,Low,Medium,N,22,6,8,N,N,,tall,287.08,brown,90,XO7MV5,22,Yasmin,YasminXO7MV5,3.08,3.08,3.90,2,Right,
Sneha Beasley,A,99.35,51.51,50,F,8.44,1,19,0,1,Medium,Medium,N,30,6,8,Y,N,,medium height,86.22,blue,27,S4UXF7,19,Amritpal,AmritpalS4UXF7,3.77,3.77,0.90,8,Mid,
Grady Davey,F,46.16,26.47,70,C-,7.29,12,17,16,19,Low,High,Y,22,1,10,Y,Y,,tall,149.23,brown,98,51DBR6,12,Grace,Grace51DBR6,2.73,2.73,3.27,4,Right,
Ciaron Booth,F,9.76,4.59,3,F,33.67,5,14,1,12,High,Low,Y,6,3,11,Y,Y,,above average height,50.32,green,16,NRPXZ9,13,Jemima,JemimaNRPXZ9,2.40,2.40,0.52,4,Left,
Anam Humphrey,D,63.22,3.81,85,B,51.52,10,14,14,13,High,Medium,Y,2,3,7,N,N,,shortish,112.02,blue,56,OPW2ZJ,21,Kiefer,KieferOPW2ZJ,3.90,3.90,0.46,9,Mid,
Teo Amos,F,20.12,9.43,8,F,84.96,18,7,19,5,High,Low,N,32,2,11,N,N,,about average height,258.30,brown,78,U7LYUN,6,Katie-Louise,Katie-LouiseU7LYUN,3.39,3.39,2.47,13,Left,
Zara Hopkins,D,63.69,27.64,100,A,3.91,11,1,18,7,Medium,Low,Y,23,6,9,Y,Y,,medium height,191.07,brown,52,9FGEI8,22,Bradley,Bradley9FGEI8,2.69,2.69,3.45,14,Right,
Elsa Senior,F,47.64,49.62,44,F,39.04,2,9,8,1,High,Medium,N,8,5,9,N,N,,very short,4.20,brown,84,38T21C,11,Alessia,Alessia38T21C,0.89,0.89,2.08,4,Mid,
Romy Vincent,F,18.18,77.51,5,F,50.35,19,4,12,5,Low,Low,N,31,3,9,Y,N,,shortish,122.84,blue,95,FHBS3Y,4,Nabil,NabilFHBS3Y,2.19,2.19,2.23,2,Mid,
Byron Ray,C-,71.49,95.70,40,F,22.71,20,18,10,13,High,Medium,N,13,4,8,Y,Y,,tallish,53.63,green,16,NACQAD,14,Iqrah,IqrahNACQAD,3.61,3.61,0.33,12,Mid,
Jokubas O'Brien,F,30.08,45.80,94,A,86.78,13,8,20,5,Low,Medium,N,27,5,11,N,N,,short,150.71,brown,36,NU8I9Z,15,Sonnie,SonnieNU8I9Z,2.36,2.36,2.02,6,Left,
Lisa Kaye,B+,88.82,64.18,96,A,26.57,6,0,10,15,Low,Low,Y,4,1,7,N,N,,,55.22,green,55,IYXG3F,21,Isla-Rae,Isla-RaeIYXG3F,3.15,3.15,2.25,8,Left,
Rizwan Deacon,F,41.33,37.08,41,F,3.34,16,3,10,11,Medium,High,N,6,4,7,Y,N,,about average height,282.29,green,76,68Q9GC,20,Momina,Momina68Q9GC,2.46,2.46,0.06,14,Left,
Zaid Schwartz,F,45.83,2.12,78,C+,53.29,7,11,9,17,Low,High,N,25,4,11,N,Y,,medium height,257.19,green,98,PN3IZT,8,Katharine,KatharinePN3IZT,2.63,2.63,1.29,16,Right,
Carlton Tait,B+,87.79,92.00,75,C,37.53,19,16,4,13,Medium,Medium,Y,24,3,8,Y,Y,,above average height,190.03,green,61,QZALZR,1,Waqas,WaqasQZALZR,1.75,1.75,3.06,12,Right,
Archie Wilkes,A,95.60,24.94,58,F,51.77,15,8,12,9,Medium,Medium,N,24,5,9,Y,Y,,below average height,133.44,blue,69,XEAVWI,12,Elaine,ElaineXEAVWI,3.70,3.70,3.00,2,Mid,
Madelaine Horton,F,9.38,50.22,29,F,92.53,15,6,17,4,High,Medium,N,36,3,10,Y,N,,medium height,190.97,green,7,W06YKR,23,Melvin,MelvinW06YKR,3.46,3.46,0.16,15,Left,
Mimi Talbot,C-,69.79,94.17,96,A,60.42,1,13,14,7,Low,Low,N,6,4,7,N,Y,,short,30.69,green,5,RQT9EJ,11,Kamil,KamilRQT9EJ,3.81,3.81,2.18,4,Mid,
Olivia-Rose Hunt,A-,92.49,98.62,85,B,18.78,16,19,18,5,Medium,Low,Y,18,1,8,N,Y,,below average height,82.14,green,27,4DDOQS,23,Keyan,Keyan4DDOQS,3.93,3.93,1.73,7,Mid,
Ammara Hughes,F,58.47,60.40,64,D,3.85,2,13,8,2,High,Low,Y,20,5,7,Y,N,,below average height,47.26,blue,74,M4E9YL,21,Sanah,SanahM4E9YL,0.22,0.22,1.57,11,Right,
Layla-Mae Webb,F,48.29,39.34,89,B+,80.87,10,16,20,18,Low,Low,Y,21,3,10,Y,Y,,medium height,133.62,green,90,N1LOYV,22,Akbar,AkbarN1LOYV,0.37,0.37,3.64,3,Left,
Nisha Frame,F,45.34,20.97,14,F,72.46,5,7,13,17,Low,Low,N,22,4,11,Y,Y,,below average height,295.67,blue,36,KTABTZ,7,Tate,TateKTABTZ,0.74,0.74,1.44,11,Left,
Aamina Robson,F,5.37,41.85,64,D,44.70,11,0,7,16,High,High,N,3,3,10,N,Y,,medium height,148.23,brown,27,8S5R7K,3,Clarke,Clarke8S5R7K,1.23,1.23,1.09,9,Left,
Ailish Patton,F,3.86,97.69,74,C,22.74,15,18,15,0,High,High,Y,12,4,10,Y,N,,about average height,178.61,green,87,2KSO0P,11,Zane,Zane2KSO0P,1.65,1.65,0.17,1,Mid,
Sienna Bush,F,46.77,25.50,11,F,73.78,10,12,11,5,High,Medium,Y,16,3,7,Y,Y,,above average height,31.97,brown,76,4T052A,3,Mikaela,Mikaela4T052A,0.45,0.45,1.31,12,Left,
Roberta Hoffman,B-,79.62,72.84,48,F,64.26,8,18,16,8,High,High,N,36,2,11,Y,Y,,shortish,148.56,green,55,MW129P,11,Jaidan,JaidanMW129P,2.08,2.08,2.18,16,Left,
Isaak Francis,B+,88.88,41.42,57,F,11.57,15,20,9,1,High,High,Y,16,2,7,Y,Y,,below average height,79.57,green,96,M67UYB,3,Ana,AnaM67UYB,1.51,1.51,3.51,5,Right,
Shakil Hyde,F,58.04,97.82,43,F,31.73,6,8,9,8,Medium,Low,N,19,2,10,N,N,,about average height,192.68,green,58,HAWSTS,23,Ammaar,AmmaarHAWSTS,1.43,1.43,2.73,11,Left,
Cormac Estrada,F,13.64,28.20,23,F,67.83,0,7,12,17,Low,Medium,N,26,2,10,N,N,,above average height,178.85,blue,68,VLPU6O,11,Alana,AlanaVLPU6O,2.45,2.45,3.41,5,Right,
Kaiden Allison,D,62.57,39.16,11,F,29.11,16,2,14,19,Low,High,N,9,1,7,N,Y,,short,208.86,brown,39,OZSUO5,10,Dua,DuaOZSUO5,1.91,1.91,1.59,11,Right,
Ayaan Nunez,F,37.01,34.22,57,F,38.18,4,1,1,1,Medium,High,N,38,6,10,N,Y,,short,147.13,brown,77,QB9XP3,2,Blair,BlairQB9XP3,2.98,2.98,2.48,16,Left,
Miley Strong,C-,71.87,76.83,48,F,31.83,1,5,11,17,High,Medium,Y,17,5,9,N,N,,below average height,263.02,blue,76,XQ07VV,6,Buster,BusterXQ07VV,0.85,0.85,2.51,15,Right,
Agatha Walls,F,13.81,32.80,84,B,86.65,18,13,3,0,Medium,Medium,Y,30,5,7,N,Y,,tall,286.36,blue,8,MM5BJ3,22,Junayd,JunaydMM5BJ3,0.87,0.87,0.25,13,Mid,
Lena Hansen,B+,87.77,1.99,47,F,81.43,10,2,17,0,Low,Medium,Y,29,1,9,N,Y,,short,143.41,green,57,G2JV4V,20,Nina,NinaG2JV4V,1.38,1.38,1.42,1,Left,
Davina Frye,F,32.84,86.26,93,A-,91.76,15,18,0,8,Low,Medium,N,25,3,7,N,N,,below average height,101.00,brown,39,UP20G4,1,Elena,ElenaUP20G4,0.81,0.81,0.74,7,Right,
Demi Gilbert,F,29.94,91.28,82,B-,77.87,4,0,16,5,High,Low,N,30,5,8,Y,N,,tall,113.53,blue,42,CGDLXY,7,Tomos,TomosCGDLXY,3.72,3.72,3.50,15,Right,
Kaylen Mcmanus,F,17.16,70.73,71,C-,33.71,7,11,3,20,High,Medium,N,14,5,10,Y,N,,short,57.91,green,78,DEK1N8,17,Enrique,EnriqueDEK1N8,3.36,3.36,0.77,3,Left,
Murat Rios,B,83.40,13.00,85,B,99.74,7,7,0,13,Low,Medium,Y,37,4,7,Y,N,,above average height,103.10,blue,24,J5ANTL,18,Joanne,JoanneJ5ANTL,3.13,3.13,3.70,3,Right,
Veronika Jarvis,B,82.72,52.99,50,F,42.84,13,4,19,6,Medium,Low,N,5,2,9,Y,N,,medium height,37.96,green,85,74437W,19,Clementine,Clementine74437W,3.55,3.55,2.95,7,Mid,
Meera Salter,F,41.86,36.23,55,F,97.93,1,17,4,6,Low,Medium,N,37,4,7,N,Y,,about average height,50.34,brown,29,RWH0Q1,7,Hamid,HamidRWH0Q1,1.29,1.29,0.26,16,Left,
Rowena Cooley,D-,61.21,27.49,69,D+,28.84,1,12,6,7,Low,High,N,40,2,10,Y,Y,,tall,204.41,brown,93,350H1M,6,Margo,Margo350H1M,1.81,1.81,3.50,9,Right,
Ophelia Sierra,F,13.91,37.95,79,C+,61.12,9,16,1,17,High,High,N,20,5,9,N,Y,,short,46.85,blue,15,B80F82,23,Korey,KoreyB80F82,2.94,2.94,2.69,9,Mid,
Amaan Donovan,F,37.03,70.79,17,F,58.53,19,3,6,16,High,High,Y,37,1,11,Y,Y,,,52.28,brown,5,BI66XO,24,Katy,KatyBI66XO,3.59,3.59,1.76,3,Mid,
Tobias Sullivan,C+,77.02,30.43,42,F,66.39,9,15,3,4,Low,High,Y,12,4,7,N,Y,,below average height,296.49,blue,86,7MV5S4,20,Jayde,Jayde7MV5S4,0.69,0.69,0.02,16,Mid,
Kiara Armitage,C,74.42,96.51,83,B,92.71,0,10,17,8,Low,Medium,N,39,5,7,N,Y,,tall,12.18,brown,99,UXF751,24,Anabel,AnabelUXF751,3.05,3.05,1.34,7,Left,
Shreya Bautista,C+,77.87,78.25,73,C-,71.30,7,8,17,2,High,Medium,N,36,5,11,Y,Y,,below average height,92.97,brown,66,DBR6NR,19,Derek,DerekDBR6NR,1.54,1.54,1.25,16,Right,
Layla-Rose Morris,F,22.99,53.61,18,F,55.27,1,8,1,7,Medium,Medium,N,25,4,9,Y,N,,above average height,128.39,blue,73,PXZ9OP,17,Miyah,MiyahPXZ9OP,0.01,0.01,1.22,9,Right,
Dylan Clark,C+,77.12,51.82,67,D,8.88,10,11,20,14,Medium,High,Y,35,4,9,Y,N,,above average height,257.52,green,15,W2ZJU7,4,Abdirahman,AbdirahmanW2ZJU7,0.03,0.03,3.05,13,Right,
Finnian Welsh,F,21.90,50.02,67,D,84.82,18,12,12,19,High,High,Y,33,6,7,Y,Y,,medium height,49.44,brown,19,LYUN9F,14,Tyrese,TyreseLYUN9F,1.32,1.32,2.63,9,Mid,
Sion Stevens,F,19.90,33.73,8,F,84.61,12,7,8,18,Low,High,N,4,4,10,Y,N,,shortish,126.31,green,78,GEI838,14,Mahad,MahadGEI838,0.64,0.64,3.89,3,Left,
Matt Yang,A,98.35,41.49,41,F,99.79,4,1,17,15,Medium,Low,N,30,6,8,N,N,,medium height,156.86,green,99,T21CFH,9,Suzanna,SuzannaT21CFH,0.60,0.60,2.73,4,Mid,
Alexis Burn,A,97.41,20.19,44,F,74.02,14,16,0,8,Medium,High,Y,29,6,7,Y,Y,,below average height,101.75,brown,61,BS3YNA,21,Alma,AlmaBS3YNA,3.61,3.61,2.13,15,Mid,
Hawwa Jackson,C+,78.56,85.00,41,F,28.97,18,3,8,0,High,Low,Y,40,5,9,N,Y,,shortish,177.15,green,50,CQADNU,22,Boris,BorisCQADNU,1.55,1.55,2.04,1,Mid,
King Norman,F,49.87,60.80,84,B,93.59,3,20,6,1,High,Low,N,26,3,9,N,Y,,medium height,175.42,brown,47,8I9ZIY,13,Adriana,Adriana8I9ZIY,1.50,1.50,3.01,14,Mid,
Samiya Wilks,F,41.70,81.45,31,F,12.24,6,13,16,12,Low,High,N,24,3,11,Y,N,,above average height,7.71,brown,56,XG3F68,23,Hanifa,HanifaXG3F68,2.17,2.17,1.97,14,Right,
Rosina Walker,B,86.42,81.45,60,D-,76.47,14,6,19,1,Medium,Low,N,12,2,10,Y,N,,shortish,251.76,brown,35,Q9GCPN,2,Nadine,NadineQ9GCPN,1.88,1.88,0.69,12,Left,
Jessica Hutchings,F,23.66,57.54,1,F,64.53,5,5,18,3,High,Medium,N,17,3,8,Y,Y,,shortish,214.00,brown,16,3IZTQZ,13,Alysia,Alysia3IZTQZ,2.49,2.49,1.70,16,Right,
Cali Bannister,F,38.62,87.03,51,F,71.19,11,19,12,20,Low,Medium,N,13,1,9,N,Y,,above average height,283.62,blue,28,ALZRXE,22,Avery,AveryALZRXE,1.88,1.88,3.86,16,Left,
Zackery Peel,F,4.34,55.68,56,F,67.18,11,10,20,2,Low,Low,Y,4,1,8,N,N,,above average height,169.48,green,43,AVWIW0,22,Khloe,KhloeAVWIW0,0.45,0.45,0.03,3,Right,
Niall Howell,D+,67.35,71.41,53,F,98.82,2,1,6,1,Low,High,Y,20,3,8,Y,Y,,about average height,285.27,green,62,6YKRRQ,14,Kiera,Kiera6YKRRQ,2.99,2.99,3.48,13,Right,
Carl Potter,F,10.18,3.26,51,F,34.41,2,1,17,15,Medium,Medium,Y,32,2,11,Y,Y,,above average height,31.18,brown,47,T9EJ4D,18,Elana,ElanaT9EJ4D,2.11,2.11,0.78,7,Right,
Malcolm Reid,A,93.16,22.90,98,A,38.02,8,20,0,5,High,Low,N,29,1,9,N,Y,,shortish,62.96,green,90,DOQSM4,17,Tianna,TiannaDOQSM4,3.95,3.95,0.22,12,Right,
Lennon Mccarthy,D+,68.31,74.46,46,F,30.01,11,14,1,8,Medium,Medium,N,30,1,11,N,Y,,about average height,193.42,green,47,E9YLN1,23,Kaydee,KaydeeE9YLN1,3.75,3.75,0.07,9,Left,
Nafisa Colon,C-,71.22,58.46,75,C,64.87,13,12,1,1,Low,Low,Y,33,1,7,N,N,,tallish,150.93,green,18,LOYVKT,4,Guy,GuyLOYVKT,1.64,1.64,2.87,16,Left,
Savannah Morse,F,1.82,73.83,68,D+,27.42,15,10,17,14,High,Low,Y,4,4,9,Y,N,,tall,113.65,brown,37,ABTZ8S,9,Theodore,TheodoreABTZ8S,2.98,2.98,3.36,4,Right,
Esha Reader,F,6.47,63.19,23,F,43.33,6,4,5,0,Medium,High,N,40,6,7,Y,N,,below average height,46.96,green,11,5R7K2K,1,Kristen,Kristen5R7K2K,2.07,2.07,3.97,7,Left,
Taylah Vaughn,D-,60.02,42.72,64,D,30.65,0,0,5,12,Medium,Low,Y,26,1,11,Y,Y,,about average height,87.48,blue,21,SO0P4T,2,Lily-Ann,Lily-AnnSO0P4T,0.03,0.03,2.69,6,Left,
Romy Buxton,F,10.25,96.65,73,C,57.44,15,5,17,16,High,Low,Y,40,4,8,Y,N,,below average height,284.17,green,18,052AMW,7,Alfred,Alfred052AMW,0.40,0.40,0.52,15,Mid,
Joni Denton,F,8.85,57.12,11,F,51.66,13,16,16,16,High,High,N,20,4,7,N,Y,,below average height,94.12,blue,21,129PM6,23,Brodie,Brodie129PM6,1.25,1.25,1.32,3,Right,
Xanthe Robinson,F,50.31,97.72,71,C-,94.29,16,19,1,1,Medium,High,Y,25,2,8,Y,Y,,about average height,66.25,brown,31,7UYBHA,7,Dwayne,Dwayne7UYBHA,0.67,0.67,1.93,16,Mid,
Cherish Miles,C-,71.65,99.78,60,D-,41.81,3,19,6,19,High,High,Y,26,6,7,Y,Y,,about average height,20.19,blue,57,WSTSVL,13,Danika,DanikaWSTSVL,2.74,2.74,2.32,5,Right,
Shirley Jefferson,F,7.87,37.52,29,F,60.16,12,3,6,7,High,High,N,40,3,9,N,N,,short,221.23,brown,16,PU6OOZ,10,Ryder,RyderPU6OOZ,0.19,0.19,0.41,11,Mid,
Harleigh Hebert,F,30.27,75.27,65,D,94.28,11,18,15,0,Low,Medium,N,12,4,10,Y,N,,above average height,73.30,green,67,SUO5QB,9,Amani,AmaniSUO5QB,3.73,3.73,0.50,5,Mid,
Darrel Bate,F,6.34,30.14,28,F,80.25,14,8,20,2,Medium,Low,Y,30,4,7,N,Y,,above average height,223.14,green,47,9XP3XQ,22,Lorenzo,Lorenzo9XP3XQ,1.36,1.36,2.27,3,Mid,
Rae House,B+,86.65,19.52,42,F,38.87,7,0,20,20,Medium,Low,N,33,6,11,N,Y,,tall,205.89,blue,84,07VVMM,23,Nabila,Nabila07VVMM,0.07,0.07,3.88,9,Mid,
Hayleigh Meadows,F,32.04,72.22,11,F,84.83,5,8,19,17,Medium,High,Y,15,2,7,Y,N,,tallish,107.14,blue,46,5BJ3G2,9,Kimberly,Kimberly5BJ3G2,1.28,1.28,3.73,4,Left,
Rhia Macleod,B+,88.55,96.83,51,F,39.77,7,3,7,17,Low,Medium,Y,21,6,11,Y,N,,very short,127.17,brown,97,JV4VUP,14,Javier,JavierJV4VUP,3.90,3.90,0.57,16,Mid,
Asmaa Orr,F,10.36,24.58,33,F,70.93,9,2,8,19,Medium,Low,Y,29,5,11,N,Y,,,105.26,brown,41,20G4CG,7,Rhea,Rhea20G4CG,1.77,1.77,1.71,6,Left,
